MAILING_NAME,MAILING_ID,REPORT_ID,LINK_NAME,URL,FIRST,LAST,ORIGINAL_GROSS_CLICK_HTML,FORWARD_GROSS_CLICK_HTML,ORIGINAL_UNIQUE_CLICK_HTML,FORWARD_UNIQUE_CLICK_HTML,ORIGINAL_GROSS_CLICK_AOL,FORWARD_GROSS_CLICK_AOL,ORIGINAL_UNIQUE_CLICK_AOL,FORWARD_UNIQUE_CLICK_AOL,ORIGINAL_GROSS_CLICK_TEXT,FORWARD_GROSS_CLICK_TEXT,ORIGINAL_UNIQUE_CLICK_TEXT,FORWARD_UNIQUE_CLICK_TEXT,ORIGINAL_GROSS_CLICK_WEB,FORWARD_GROSS_CLICK_WEB,ORIGINAL_UNIQUE_CLICK_WEB,FORWARD_UNIQUE_CLICK_WEB
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,"www_oneputtpro_com_terms_of_service","https://www.oneputtpro.com/terms-of-service",2026-09-12 15:42:39.0,2026-09-14 07:43:23.0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,"oneputtpro_com_ngf_utm_source_ngf_u","https://oneputtpro.com/ngf?utm_source=ngf&utm_medium=email&utm_campaign=ngfsep12",2026-09-12 08:32:07.0,2026-09-21 20:17:07.0,74,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,"CUSTOMOPTOUT","http://survey.ngf.org/unsubscribe/unsubscribe.asp?subbtn=Unsubscribe&src=OnePuttPro&email=%%EMAIL%%",2026-09-12 08:06:19.0,2026-09-23 18:46:06.0,615,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,"www_youtube_com_watch_v_qNAxI_jYkQ4","https://www.youtube.com/watch?v=qNAxI_jYkQ4?utm_source=ngf&utm_medium=email&utm_campaign=ngfsep12",2026-09-12 10:36:53.0,2026-09-15 19:57:30.0,32,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,"oneputtpro_com_ngf_utm_source_ngf_u_3","https://oneputtpro.com/ngf?utm_source=ngf&utm_medium=email&utm_campaign=ngfsep12",2026-09-12 09:26:39.0,2026-09-17 20:03:27.0,33,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,"oneputtpro_com_ngf_utm_source_ngf_u_2","https://oneputtpro.com/ngf?utm_source=ngf&utm_medium=email&utm_campaign=ngfsep12",2026-09-12 08:35:10.0,2026-09-17 21:51:04.0,57,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,"www_youtube_com_watch_v_un2MHVGtgqY","https://www.youtube.com/watch?v=un2MHVGtgqY?utm_source=ngf&utm_medium=email&utm_campaign=ngfsep12",2026-09-12 10:36:53.0,2026-09-14 13:53:23.0,20,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,"www_oneputtpro_com_ngf_utm_source_n","https://www.oneputtpro.com/ngf?utm_source=ngf&utm_medium=email&utm_campaign=ngfsep26",2026-09-12 15:42:43.0,2026-09-14 07:43:21.0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
GL - OnePuttPro - 2026 - Sep 12 (1),25884371,3401019138,"www_oneputtpro_com_privacy_policy","https://www.oneputtpro.com/privacy-policy",2026-09-12 14:01:41.0,2026-09-22 12:10:26.0,20,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
